date,weather_code,temp_max,temp_min,weather
2015-01-01,3,-11.4,-24.3,Sunny
2015-01-02,71,-4.3,-10.4,Snowy
2015-01-03,3,0.3,-5.7,Sunny
2015-01-04,73,1.1,-5.7,Snowy
2015-01-05,3,-0.6,-9.2,Sunny
2015-01-06,73,-3.1,-13.6,Snowy
2015-01-07,71,-7.5,-16.4,Snowy
2015-01-08,3,-9.5,-17.0,Sunny
2015-01-09,3,0.7,-16.9,Sunny
2015-01-10,3,4.5,0.4,Sunny
2015-01-11,3,6.3,1.7,Sunny
2015-01-12,73,5.3,-4.0,Snowy
2015-01-13,0,3.7,-9.6,Sunny
2015-01-14,2,4.1,-6.7,Partly Cloudy
2015-01-15,3,6.2,-6.6,Sunny
2015-01-16,2,5.6,-3.5,Partly Cloudy
2015-01-17,3,1.8,-4.3,Sunny
2015-01-18,51,5.5,-2.6,Rainy
2015-01-19,51,10.4,-1.1,Rainy
2015-01-20,3,5.3,-0.6,Sunny
2015-01-21,3,5.3,1.0,Sunny
2015-01-22,51,5.2,2.4,Rainy
2015-01-23,3,11.4,3.1,Sunny
2015-01-24,51,5.8,1.9,Rainy
2015-01-25,61,2.5,1.3,Rainy
2015-01-26,51,3.8,1.5,Rainy
2015-01-27,71,4.1,0.6,Snowy
2015-01-28,73,3.6,0.9,Snowy
2015-01-29,3,6.7,-0.6,Sunny
2015-01-30,3,12.0,-2.7,Sunny
2015-01-31,53,11.6,4.2,Rainy
2015-02-01,71,4.9,2.1,Snowy
2015-02-02,53,7.3,0.5,Rainy
2015-02-03,51,7.4,-0.1,Rainy
2015-02-04,51,9.8,-3.5,Rainy
2015-02-05,3,8.9,-1.2,Sunny
2015-02-06,73,4.2,-0.1,Snowy
2015-02-07,75,-0.1,-4.1,Snowy
2015-02-08,71,0.8,-5.3,Snowy
2015-02-09,71,1.3,-6.2,Snowy
2015-02-10,3,0.9,-8.0,Sunny
2015-02-11,71,0.4,-9.9,Snowy
2015-02-12,71,3.3,-4.8,Snowy
2015-02-13,0,6.7,-4.1,Sunny
2015-02-14,1,7.1,-3.4,Partly Cloudy
2015-02-15,3,4.0,-1.4,Sunny
2015-02-16,3,2.1,-1.4,Sunny
2015-02-17,3,-1.4,-5.6,Sunny
2015-02-18,1,2.6,-6.2,Partly Cloudy
2015-02-19,3,7.3,-5.6,Sunny
2015-02-20,3,4.8,-0.2,Sunny
2015-02-21,3,10.9,-0.0,Sunny
2015-02-22,3,11.0,-1.7,Sunny
2015-02-23,51,12.8,3.6,Rainy
2015-02-24,3,9.3,5.1,Sunny
2015-02-25,53,10.0,6.5,Rainy
2015-02-26,51,12.4,4.5,Rainy
2015-02-27,53,13.4,0.8,Rainy
2015-02-28,53,13.0,5.1,Rainy
2015-03-01,3,10.7,5.9,Sunny
2015-03-02,51,13.7,3.3,Rainy
2015-03-03,53,13.4,4.5,Rainy
2015-03-04,3,10.9,-0.1,Sunny
2015-03-05,53,6.8,1.0,Rainy
2015-03-06,73,4.0,1.7,Snowy
2015-03-07,71,6.0,1.1,Snowy
2015-03-08,3,7.3,1.0,Sunny
2015-03-09,3,9.0,-1.7,Sunny
2015-03-10,51,8.3,-0.2,Rainy
2015-03-11,3,8.8,-0.8,Sunny
2015-03-12,3,11.5,1.2,Sunny
2015-03-13,51,11.0,1.2,Rainy
2015-03-14,53,10.9,0.8,Rainy
2015-03-15,51,9.3,5.7,Rainy
2015-03-16,3,11.8,5.4,Sunny
2015-03-17,2,8.9,2.1,Partly Cloudy
2015-03-18,51,7.2,-2.7,Rainy
2015-03-19,51,7.0,-1.9,Rainy
2015-03-20,53,6.2,-2.1,Rainy
2015-03-21,3,12.5,-0.9,Sunny
2015-03-22,3,16.2,-1.3,Sunny
2015-03-23,3,7.9,3.3,Sunny
2015-03-24,0,12.4,-1.1,Sunny
2015-03-25,3,16.2,0.7,Sunny
2015-03-26,3,17.3,4.1,Sunny
2015-03-27,61,11.6,8.2,Rainy
2015-03-28,53,10.1,6.8,Rainy
2015-03-29,55,12.1,8.2,Rainy
2015-03-30,51,15.5,4.6,Rainy
2015-03-31,53,14.9,8.4,Rainy
2015-04-01,51,15.1,7.0,Rainy
2015-04-02,51,11.7,3.7,Rainy
2015-04-03,51,11.0,4.2,Rainy
2015-04-04,3,11.6,1.3,Sunny
2015-04-05,51,13.4,1.1,Rainy
2015-04-06,61,6.7,3.2,Rainy
2015-04-07,51,10.3,3.3,Rainy
2015-04-08,3,12.1,-0.4,Sunny
2015-04-09,3,13.4,2.6,Sunny
2015-04-10,0,15.7,3.1,Sunny
2015-04-11,0,19.8,3.4,Sunny
2015-04-12,2,21.8,3.8,Partly Cloudy
2015-04-13,2,21.3,7.2,Partly Cloudy
2015-04-14,53,13.1,7.4,Rainy
2015-04-15,3,17.5,3.9,Sunny
2015-04-16,3,22.1,7.7,Sunny
2015-04-17,3,24.6,10.8,Sunny
2015-04-18,61,20.4,9.2,Rainy
2015-04-19,55,13.3,6.2,Rainy
2015-04-20,51,15.2,2.5,Rainy
2015-04-21,51,13.2,2.7,Rainy
2015-04-22,55,11.8,4.7,Rainy
2015-04-23,2,15.8,2.7,Partly Cloudy
2015-04-24,3,20.6,4.2,Sunny
2015-04-25,51,22.3,8.8,Rainy
2015-04-26,2,22.6,8.8,Partly Cloudy
2015-04-27,51,24.2,9.1,Rainy
2015-04-28,51,22.3,12.1,Rainy
2015-04-29,63,17.4,9.4,Rainy
2015-04-30,53,15.4,11.2,Rainy
2015-05-01,51,19.6,8.5,Rainy
2015-05-02,61,19.5,12.3,Rainy
2015-05-03,51,20.2,11.0,Rainy
2015-05-04,51,23.2,12.0,Rainy
2015-05-05,3,25.5,12.3,Sunny
2015-05-06,3,25.5,14.8,Sunny
2015-05-07,51,27.1,13.8,Rainy
2015-05-08,3,21.4,13.3,Sunny
2015-05-09,53,21.4,14.0,Rainy
2015-05-10,53,18.6,11.0,Rainy
2015-05-11,3,20.2,11.0,Sunny
2015-05-12,3,21.6,11.7,Sunny
2015-05-13,3,24.0,9.9,Sunny
2015-05-14,53,26.0,11.3,Rainy
2015-05-15,51,24.7,13.0,Rainy
2015-05-16,51,22.3,13.8,Rainy
2015-05-17,55,24.5,14.2,Rainy
2015-05-18,3,25.1,14.0,Sunny
2015-05-19,3,28.0,15.0,Sunny
2015-05-20,3,25.4,13.3,Sunny
2015-05-21,3,26.6,12.6,Sunny
2015-05-22,1,26.6,14.0,Partly Cloudy
2015-05-23,3,27.3,14.1,Sunny
2015-05-24,3,27.5,15.2,Sunny
2015-05-25,63,26.3,15.3,Rainy
2015-05-26,61,23.6,14.8,Rainy
2015-05-27,51,23.1,13.0,Rainy
2015-05-28,51,17.5,14.3,Rainy
2015-05-29,51,20.2,13.4,Rainy
2015-05-30,3,22.2,9.5,Sunny
2015-05-31,1,25.2,11.9,Partly Cloudy
2015-06-01,1,26.4,14.7,Partly Cloudy
2015-06-02,2,28.0,15.4,Partly Cloudy
2015-06-03,53,28.8,15.0,Rainy
2015-06-04,55,27.5,16.4,Rainy
2015-06-05,51,26.1,18.7,Rainy
2015-06-06,1,26.6,16.7,Partly Cloudy
2015-06-07,0,26.8,13.7,Sunny
2015-06-08,1,26.8,13.6,Partly Cloudy
2015-06-09,3,27.8,13.5,Sunny
2015-06-10,61,28.6,18.0,Rainy
2015-06-11,3,28.6,18.3,Sunny
2015-06-12,51,29.5,17.0,Rainy
2015-06-13,55,30.3,19.1,Rainy
2015-06-14,53,32.6,19.8,Rainy
2015-06-15,61,32.5,18.1,Rainy
2015-06-16,61,25.4,19.2,Rainy
2015-06-17,53,22.2,17.7,Rainy
2015-06-18,3,24.5,17.6,Sunny
2015-06-19,3,25.2,15.1,Sunny
2015-06-20,61,25.9,16.0,Rainy
2015-06-21,63,17.6,15.1,Rainy
2015-06-22,3,22.2,12.3,Sunny
2015-06-23,2,25.1,12.0,Partly Cloudy
2015-06-24,1,27.6,15.1,Partly Cloudy
2015-06-25,51,22.6,17.1,Rainy
2015-06-26,61,18.5,15.4,Rainy
2015-06-27,51,24.2,16.1,Rainy
2015-06-28,53,25.6,15.5,Rainy
2015-06-29,3,24.4,17.5,Sunny
2015-06-30,2,25.8,15.3,Partly Cloudy
2015-07-01,51,26.7,15.1,Rainy
2015-07-02,53,26.7,16.8,Rainy
2015-07-03,53,26.2,16.0,Rainy
2015-07-04,61,25.0,18.4,Rainy
2015-07-05,55,26.3,16.4,Rainy
2015-07-06,1,30.3,17.3,Partly Cloudy
2015-07-07,1,32.9,19.3,Partly Cloudy
2015-07-08,1,34.1,22.7,Partly Cloudy
2015-07-09,1,33.8,19.5,Partly Cloudy
2015-07-10,63,24.1,19.8,Rainy
2015-07-11,3,25.1,17.4,Sunny
2015-07-12,1,26.1,16.1,Partly Cloudy
2015-07-13,3,29.4,17.4,Sunny
2015-07-14,53,26.1,18.7,Rainy
2015-07-15,3,29.1,16.1,Sunny
2015-07-16,1,28.2,19.3,Partly Cloudy
2015-07-17,1,30.9,18.7,Partly Cloudy
2015-07-18,1,33.4,20.3,Partly Cloudy
2015-07-19,51,33.9,21.5,Rainy
2015-07-20,1,34.5,21.2,Partly Cloudy
2015-07-21,2,31.6,24.6,Partly Cloudy
2015-07-22,1,32.9,22.7,Partly Cloudy
2015-07-23,0,33.5,20.5,Sunny
2015-07-24,0,32.5,19.6,Sunny
2015-07-25,0,32.9,18.1,Sunny
2015-07-26,1,34.8,20.2,Partly Cloudy
2015-07-27,3,32.4,22.3,Sunny
2015-07-28,2,33.3,22.2,Partly Cloudy
2015-07-29,51,33.6,23.0,Rainy
2015-07-30,2,36.7,23.3,Partly Cloudy
2015-07-31,51,29.1,23.7,Rainy
2015-08-01,55,27.5,19.8,Rainy
2015-08-02,2,29.6,20.4,Partly Cloudy
2015-08-03,1,30.9,18.0,Partly Cloudy
2015-08-04,2,33.4,19.5,Partly Cloudy
2015-08-05,53,34.6,24.5,Rainy
2015-08-06,1,34.9,23.8,Partly Cloudy
2015-08-07,1,33.3,22.9,Partly Cloudy
2015-08-08,2,31.9,20.8,Partly Cloudy
2015-08-09,2,32.4,19.7,Partly Cloudy
2015-08-10,3,33.5,19.3,Sunny
2015-08-11,3,34.6,22.1,Sunny
2015-08-12,1,34.1,22.3,Partly Cloudy
2015-08-13,2,33.3,22.1,Partly Cloudy
2015-08-14,51,32.1,21.6,Rainy
2015-08-15,1,33.0,21.7,Partly Cloudy
2015-08-16,2,34.5,21.3,Partly Cloudy
2015-08-17,63,30.1,21.0,Rainy
2015-08-18,63,27.4,19.5,Rainy
2015-08-19,3,20.7,17.3,Sunny
2015-08-20,61,19.2,15.7,Rainy
2015-08-21,53,19.1,14.7,Rainy
2015-08-22,53,19.7,15.5,Rainy
2015-08-23,51,23.7,14.7,Rainy
2015-08-24,1,27.1,13.9,Partly Cloudy
2015-08-25,3,28.4,14.9,Sunny
2015-08-26,3,29.4,15.0,Sunny
2015-08-27,0,29.5,16.0,Sunny
2015-08-28,3,31.3,16.6,Sunny
2015-08-29,3,32.7,17.5,Sunny
2015-08-30,0,32.3,21.3,Sunny
2015-08-31,0,33.8,21.1,Sunny
2015-09-01,0,33.5,19.2,Sunny
